simulation	experiment
4.584051966700000e-01	1.815841049000000e-01
4.597455561200000e-01	1.726016253200000e-01
4.604157507400000e-01	1.683938950300000e-01
4.617561101900000e-01	1.605052352000000e-01
4.624263048200000e-01	1.568092107800000e-01
4.637666642700000e-01	1.498783826800000e-01
4.644368588900000e-01	1.466302871700000e-01
4.657772183400000e-01	1.405376941000000e-01
4.664473831700000e-01	1.376815140200000e-01
4.677877724200000e-01	1.323221623900000e-01
4.684579372400000e-01	1.298087686300000e-01
4.697983264900000e-01	1.250906288600000e-01
4.704684913200000e-01	1.228769496100000e-01
4.718088507700000e-01	1.187194362300000e-01
4.724790453900000e-01	1.167678013400000e-01
4.738194048400000e-01	1.131004765600000e-01
4.744895994700000e-01	1.113779693800000e-01
4.758299589200000e-01	1.081393137600000e-01
4.765001535400000e-01	1.066172197500000e-01
4.778405129900000e-01	1.037535890900000e-01
4.785106778100000e-01	1.024068668500000e-01
4.798510670700000e-01	9.987151622800000e-02
4.805212318900000e-01	9.867837280000000e-02
4.818616211400000e-01	9.643060714000000e-02
4.825317859600000e-01	9.537206590199999e-02
4.838721454100000e-01	9.337648749400000e-02
4.845423400400000e-01	9.243603795800000e-02
4.858826994900000e-01	9.066186845300001e-02
4.865528941200000e-01	8.982516825200000e-02
4.878932535600000e-01	8.824562281400000e-02
4.885634481900000e-01	8.750019967600001e-02
4.899038076400000e-01	8.609200269000000e-02
4.905739724600000e-01	8.542699366800000e-02
4.919143617200000e-01	8.416988700600000e-02
4.925845265400000e-01	8.357584476500000e-02
4.939249157900000e-01	8.245218545200000e-02
4.945950806100000e-01	8.192087709900001e-02
4.959354400600000e-01	8.091529458799999e-02
4.966056346900000e-01	8.043953031300000e-02
4.979459941400000e-01	7.953859120600000e-02
4.986161887600000e-01	7.911211252200000e-02
4.999565482100000e-01	7.830408215500000e-02
5.006267428400000e-01	7.792139798400000e-02
5.019670724900001e-01	7.719600200700000e-02
5.026372671100000e-01	7.685229927300000e-02
5.039776563600000e-01	7.620052993300000e-02
5.046477913900000e-01	7.589158415800000e-02
5.059881806400000e-01	7.530550658700000e-02
5.066583752600000e-01	7.502759993100000e-02
5.079987049100000e-01	7.450023293499999e-02
5.086688995400001e-01	7.425009459300000e-02
5.093390941600000e-01	7.400854677000000e-02
5.106794834100000e-01	7.355000823700000e-02
5.113496184300000e-01	7.333243638299999e-02
5.126900076899999e-01	7.291932404000000e-02
5.133602023100000e-01	7.272326201200000e-02
5.147005915600000e-01	7.235092669700000e-02
5.153707265900001e-01	7.217419892500000e-02
5.167111158400000e-01	7.183851301700001e-02
5.173813104600000e-01	7.167915254800000e-02
5.187216401100000e-01	7.137644290900000e-02
5.193918347399999e-01	7.123272865999999e-02
5.207322239900000e-01	7.095970213400001e-02
5.214024186100000e-01	7.083007693300000e-02
5.227427482600000e-01	7.058380544200001e-02
5.234129428900000e-01	7.046687603000000e-02
5.247533321400000e-01	7.024473696899999e-02
5.254234671600000e-01	7.013925910000000e-02
5.267638564100000e-01	6.993888318499999e-02
5.274340510400000e-01	6.984375417200001e-02
5.287743806800000e-01	6.966302543900001e-02
5.294445753100000e-01	6.957722455300000e-02
5.307849645600000e-01	6.941424310200001e-02
5.314551591900000e-01	6.933686882300000e-02
5.327954888300001e-01	6.918991357100000e-02
5.334656834600000e-01	6.912015378500000e-02
5.348060727100000e-01	6.898767501100000e-02
5.354762077300000e-01	6.892479956200000e-02
5.368165969799999e-01	6.880540400700000e-02
5.374867916100000e-01	6.874874234200000e-02
5.388271808600000e-01	6.864117085900000e-02
5.394973158800001e-01	6.859012693200001e-02
5.408377051400000e-01	6.849323213100000e-02
5.415078997600000e-01	6.844726204899999e-02
5.428482294100000e-01	6.836001575000000e-02
5.435184240299999e-01	6.831862777500000e-02
5.448588132900000e-01	6.824009865500000e-02
5.455290079100000e-01	6.820286065300001e-02
5.468693375600000e-01	6.813219934700000e-02
5.475395321800000e-01	6.809870153700000e-02
5.488799214400000e-01	6.803514808400001e-02
5.495500564600000e-01	6.800502538700000e-02
5.508904457100000e-01	6.794788688400000e-02
5.515606403400000e-01	6.792081147400000e-02
5.529009699800000e-01	6.786946952300001e-02
5.535711646100000e-01	6.784513592700001e-02
5.549115538600000e-01	6.779901683300001e-02
5.555817484900000e-01	6.777717173099999e-02
5.569220781300001e-01	6.773576140400001e-02
5.575922727600000e-01	6.771614402499999e-02
5.589326620100000e-01	6.767898052900000e-02
5.596028566400000e-01	6.766138225800000e-02
5.609431862800000e-01	6.762804091000001e-02
5.616133809100000e-01	6.761226058000000e-02
5.629537701600000e-01	6.758236140000000e-02
5.636239051800001e-01	6.756821274800000e-02
5.649642944300000e-01	6.754141300900000e-02
5.656344890600000e-01	6.752873957199999e-02
5.669748187100000e-01	6.750473380100000e-02
5.676450133299999e-01	6.749337166500000e-02
5.689854025800000e-01	6.747187674000001e-02
5.696555972100000e-01	6.746171414900000e-02
5.709959268600000e-01	6.744246929900000e-02
5.716661214800000e-01	6.743337214000000e-02
5.723363161100000e-01	6.742460280699999e-02
5.736766457600000e-01	6.740801781400001e-02
5.743468403799999e-01	6.740017980300000e-02
5.756872296300000e-01	6.738534569700000e-02
5.763574242600000e-01	6.737833470100001e-02
5.776977539100000e-01	6.736508011800001e-02
5.783679485300000e-01	6.735882163000000e-02
5.797083377800000e-01	6.734697520700000e-02
5.803784728100000e-01	6.734137982100000e-02
5.817188620600000e-01	6.733080744700000e-02
5.823890566800000e-01	6.732580810800000e-02
5.837294459300000e-01	6.731636822200000e-02
5.843995809600000e-01	6.731190532400000e-02
5.857399702100000e-01	6.730348616800000e-02
5.864101648300000e-01	6.729950755800000e-02
5.877504944800001e-01	6.729198992300001e-02
5.884206891100000e-01	6.728844344600000e-02
5.897610783600000e-01	6.728174537400000e-02
5.904312729800000e-01	6.727858632800000e-02
5.917716026299999e-01	6.727261096200000e-02
5.924417972600000e-01	6.726979464299999e-02
5.937821865100000e-01	6.726447492800000e-02
5.944523215300000e-01	6.726196408300000e-02
5.957927107800000e-01	6.725722551299999e-02
5.964629054100000e-01	6.725499033900000e-02
5.978032350500000e-01	6.725077331100000e-02
5.984734296799999e-01	6.724878400600000e-02
5.998138189300000e-01	6.724502891299999e-02
6.004840135600000e-01	6.724325567500000e-02
6.018243432000000e-01	6.723991781499999e-02
6.024945378300000e-01	6.723833829200000e-02
6.038349270800000e-01	6.723536551000001e-02
6.045051217100000e-01	6.723396480100000e-02
6.058454513500000e-01	6.723132729500000e-02
6.065156459800000e-01	6.723008304800000e-02
6.078560352300000e-01	6.722773611500001e-02
6.085261702500000e-01	6.722662597900000e-02
6.098665595100000e-01	6.722453981600000e-02
6.105367541300000e-01	6.722355634000000e-02
6.118770837800001e-01	6.722170114500001e-02
6.125472784000000e-01	6.722082942700000e-02
6.138876676600000e-01	6.721918284900000e-02
6.145578622800000e-01	6.721840798900000e-02
6.158981919299999e-01	6.721694767500000e-02
6.165683865500000e-01	6.721625477100000e-02
6.179087758100000e-01	6.721495836999999e-02
6.185789108300001e-01	6.721434742200000e-02
6.199193000800000e-01	6.721320003300001e-02
6.205894947100000e-01	6.721265613999999e-02
6.219298243500000e-01	6.721163541100000e-02
6.226000189799999e-01	6.721115857399999e-02
6.239404082300000e-01	6.721024960300000e-02
6.246106028600000e-01	6.720982491999999e-02
6.259509325000000e-01	6.720902025700000e-02
6.266211271300000e-01	6.720864027700001e-02
6.279615163800000e-01	6.720793247200001e-02
6.286317110100000e-01	6.720759719600000e-02
6.299720406500000e-01	6.720696389700000e-02
6.306422352800000e-01	6.720666587400000e-02
6.319826245300000e-01	6.720610707999999e-02
